,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Age_exists
0,0,3,0,22,1,0,7.25,S,TRUE
1,1,1,1,38,1,0,71.2833,C,TRUE
2,1,3,1,26,0,0,7.925,S,TRUE
3,1,1,1,35,1,0,53.1,S,TRUE
4,0,3,0,35,0,0,8.05,S,TRUE
5,0,3,0,,0,0,8.4583,Q,FALSE
6,0,1,0,54,0,0,51.8625,S,TRUE
7,0,3,0,2,3,1,21.075,S,TRUE
8,1,3,1,27,0,2,11.1333,S,TRUE
9,1,2,1,14,1,0,30.0708,C,TRUE
10,1,3,1,4,1,1,16.7,S,TRUE
11,1,1,1,58,0,0,26.55,S,TRUE
12,0,3,0,20,0,0,8.05,S,TRUE
13,0,3,0,39,1,5,31.275,S,TRUE
14,0,3,1,14,0,0,7.8542,S,TRUE
15,1,2,1,55,0,0,16,S,TRUE
16,0,3,0,2,4,1,29.125,Q,TRUE
17,1,2,0,,0,0,13,S,FALSE
18,0,3,1,31,1,0,18,S,TRUE
19,1,3,1,,0,0,7.225,C,FALSE
20,0,2,0,35,0,0,26,S,TRUE
21,1,2,0,34,0,0,13,S,TRUE
22,1,3,1,15,0,0,8.0292,Q,TRUE
23,1,1,0,28,0,0,35.5,S,TRUE
24,0,3,1,8,3,1,21.075,S,TRUE
25,1,3,1,38,1,5,31.3875,S,TRUE
26,0,3,0,,0,0,7.225,C,FALSE
27,0,1,0,19,3,2,263,S,TRUE
28,1,3,1,,0,0,7.8792,Q,FALSE
29,0,3,0,,0,0,7.8958,S,FALSE
30,0,1,0,40,0,0,27.7208,C,TRUE
31,1,1,1,,1,0,146.5208,C,FALSE
32,1,3,1,,0,0,7.75,Q,FALSE
33,0,2,0,66,0,0,10.5,S,TRUE
34,0,1,0,28,1,0,82.1708,C,TRUE
35,0,1,0,42,1,0,52,S,TRUE
36,1,3,0,,0,0,7.2292,C,FALSE
37,0,3,0,21,0,0,8.05,S,TRUE
38,0,3,1,18,2,0,18,S,TRUE
39,1,3,1,14,1,0,11.2417,C,TRUE
40,0,3,1,40,1,0,9.475,S,TRUE
41,0,2,1,27,1,0,21,S,TRUE
42,0,3,0,,0,0,7.8958,C,FALSE
43,1,2,1,3,1,2,41.5792,C,TRUE
44,1,3,1,19,0,0,7.8792,Q,TRUE
45,0,3,0,,0,0,8.05,S,FALSE
46,0,3,0,,1,0,15.5,Q,FALSE
47,1,3,1,,0,0,7.75,Q,FALSE
48,0,3,0,,2,0,21.6792,C,FALSE
49,0,3,1,18,1,0,17.8,S,TRUE
50,0,3,0,7,4,1,39.6875,S,TRUE
51,0,3,0,21,0,0,7.8,S,TRUE
52,1,1,1,49,1,0,76.7292,C,TRUE
53,1,2,1,29,1,0,26,S,TRUE
54,0,1,0,65,0,1,61.9792,C,TRUE
55,1,1,0,,0,0,35.5,S,FALSE
56,1,2,1,21,0,0,10.5,S,TRUE
57,0,3,0,28.5,0,0,7.2292,C,TRUE
58,1,2,1,5,1,2,27.75,S,TRUE
59,0,3,0,11,5,2,46.9,S,TRUE
60,0,3,0,22,0,0,7.2292,C,TRUE
61,1,1,1,38,0,0,80,S,TRUE
62,0,1,0,45,1,0,83.475,S,TRUE
63,0,3,0,4,3,2,27.9,S,TRUE
64,0,1,0,,0,0,27.7208,C,FALSE
65,1,3,0,,1,1,15.2458,C,FALSE
66,1,2,1,29,0,0,10.5,S,TRUE
67,0,3,0,19,0,0,8.1583,S,TRUE
68,1,3,1,17,4,2,7.925,S,TRUE
69,0,3,0,26,2,0,8.6625,S,TRUE
70,0,2,0,32,0,0,10.5,S,TRUE
71,0,3,1,16,5,2,46.9,S,TRUE
72,0,2,0,21,0,0,73.5,S,TRUE
73,0,3,0,26,1,0,14.4542,C,TRUE
74,1,3,0,32,0,0,56.4958,S,TRUE
75,0,3,0,25,0,0,7.65,S,TRUE
76,0,3,0,,0,0,7.8958,S,FALSE
77,0,3,0,,0,0,8.05,S,FALSE
78,1,2,0,0.83,0,2,29,S,TRUE
79,1,3,1,30,0,0,12.475,S,TRUE
80,0,3,0,22,0,0,9,S,TRUE
81,1,3,0,29,0,0,9.5,S,TRUE
82,1,3,1,,0,0,7.7875,Q,FALSE
83,0,1,0,28,0,0,47.1,S,TRUE
84,1,2,1,17,0,0,10.5,S,TRUE
85,1,3,1,33,3,0,15.85,S,TRUE
86,0,3,0,16,1,3,34.375,S,TRUE
87,0,3,0,,0,0,8.05,S,FALSE
88,1,1,1,23,3,2,263,S,TRUE
89,0,3,0,24,0,0,8.05,S,TRUE
90,0,3,0,29,0,0,8.05,S,TRUE
91,0,3,0,20,0,0,7.8542,S,TRUE
92,0,1,0,46,1,0,61.175,S,TRUE
93,0,3,0,26,1,2,20.575,S,TRUE
94,0,3,0,59,0,0,7.25,S,TRUE
95,0,3,0,,0,0,8.05,S,FALSE
96,0,1,0,71,0,0,34.6542,C,TRUE
97,1,1,0,23,0,1,63.3583,C,TRUE
98,1,2,1,34,0,1,23,S,TRUE
99,0,2,0,34,1,0,26,S,TRUE
100,0,3,1,28,0,0,7.8958,S,TRUE
101,0,3,0,,0,0,7.8958,S,FALSE
102,0,1,0,21,0,1,77.2875,S,TRUE
103,0,3,0,33,0,0,8.6542,S,TRUE
104,0,3,0,37,2,0,7.925,S,TRUE
105,0,3,0,28,0,0,7.8958,S,TRUE
106,1,3,1,21,0,0,7.65,S,TRUE
107,1,3,0,,0,0,7.775,S,FALSE
108,0,3,0,38,0,0,7.8958,S,TRUE
109,1,3,1,,1,0,24.15,Q,FALSE
110,0,1,0,47,0,0,52,S,TRUE
111,0,3,1,14.5,1,0,14.4542,C,TRUE
112,0,3,0,22,0,0,8.05,S,TRUE
113,0,3,1,20,1,0,9.825,S,TRUE
114,0,3,1,17,0,0,14.4583,C,TRUE
115,0,3,0,21,0,0,7.925,S,TRUE
116,0,3,0,70.5,0,0,7.75,Q,TRUE
117,0,2,0,29,1,0,21,S,TRUE
118,0,1,0,24,0,1,247.5208,C,TRUE
119,0,3,1,2,4,2,31.275,S,TRUE
120,0,2,0,21,2,0,73.5,S,TRUE
121,0,3,0,,0,0,8.05,S,FALSE
122,0,2,0,32.5,1,0,30.0708,C,TRUE
123,1,2,1,32.5,0,0,13,S,TRUE
124,0,1,0,54,0,1,77.2875,S,TRUE
125,1,3,0,12,1,0,11.2417,C,TRUE
126,0,3,0,,0,0,7.75,Q,FALSE
127,1,3,0,24,0,0,7.1417,S,TRUE
128,1,3,1,,1,1,22.3583,C,FALSE
129,0,3,0,45,0,0,6.975,S,TRUE
130,0,3,0,33,0,0,7.8958,C,TRUE
131,0,3,0,20,0,0,7.05,S,TRUE
132,0,3,1,47,1,0,14.5,S,TRUE
133,1,2,1,29,1,0,26,S,TRUE
134,0,2,0,25,0,0,13,S,TRUE
135,0,2,0,23,0,0,15.0458,C,TRUE
136,1,1,1,19,0,2,26.2833,S,TRUE
137,0,1,0,37,1,0,53.1,S,TRUE
138,0,3,0,16,0,0,9.2167,S,TRUE
139,0,1,0,24,0,0,79.2,C,TRUE
140,0,3,1,,0,2,15.2458,C,FALSE
141,1,3,1,22,0,0,7.75,S,TRUE
142,1,3,1,24,1,0,15.85,S,TRUE
143,0,3,0,19,0,0,6.75,Q,TRUE
144,0,2,0,18,0,0,11.5,S,TRUE
145,0,2,0,19,1,1,36.75,S,TRUE
146,1,3,0,27,0,0,7.7958,S,TRUE
147,0,3,1,9,2,2,34.375,S,TRUE
148,0,2,0,36.5,0,2,26,S,TRUE
149,0,2,0,42,0,0,13,S,TRUE
150,0,2,0,51,0,0,12.525,S,TRUE
151,1,1,1,22,1,0,66.6,S,TRUE
152,0,3,0,55.5,0,0,8.05,S,TRUE
153,0,3,0,40.5,0,2,14.5,S,TRUE
154,0,3,0,,0,0,7.3125,S,FALSE
155,0,1,0,51,0,1,61.3792,C,TRUE
156,1,3,1,16,0,0,7.7333,Q,TRUE
157,0,3,0,30,0,0,8.05,S,TRUE
158,0,3,0,,0,0,8.6625,S,FALSE
159,0,3,0,,8,2,69.55,S,FALSE
160,0,3,0,44,0,1,16.1,S,TRUE
161,1,2,1,40,0,0,15.75,S,TRUE
162,0,3,0,26,0,0,7.775,S,TRUE
163,0,3,0,17,0,0,8.6625,S,TRUE
164,0,3,0,1,4,1,39.6875,S,TRUE
165,1,3,0,9,0,2,20.525,S,TRUE
166,1,1,1,,0,1,55,S,FALSE
167,0,3,1,45,1,4,27.9,S,TRUE
168,0,1,0,,0,0,25.925,S,FALSE
169,0,3,0,28,0,0,56.4958,S,TRUE
170,0,1,0,61,0,0,33.5,S,TRUE
171,0,3,0,4,4,1,29.125,Q,TRUE
172,1,3,1,1,1,1,11.1333,S,TRUE
173,0,3,0,21,0,0,7.925,S,TRUE
174,0,1,0,56,0,0,30.6958,C,TRUE
175,0,3,0,18,1,1,7.8542,S,TRUE
176,0,3,0,,3,1,25.4667,S,FALSE
177,0,1,1,50,0,0,28.7125,C,TRUE
178,0,2,0,30,0,0,13,S,TRUE
179,0,3,0,36,0,0,0,S,TRUE
180,0,3,1,,8,2,69.55,S,FALSE
181,0,2,0,,0,0,15.05,C,FALSE
182,0,3,0,9,4,2,31.3875,S,TRUE
183,1,2,0,1,2,1,39,S,TRUE
184,1,3,1,4,0,2,22.025,S,TRUE
185,0,1,0,,0,0,50,S,FALSE
186,1,3,1,,1,0,15.5,Q,FALSE
187,1,1,0,45,0,0,26.55,S,TRUE
188,0,3,0,40,1,1,15.5,Q,TRUE
189,0,3,0,36,0,0,7.8958,S,TRUE
190,1,2,1,32,0,0,13,S,TRUE
191,0,2,0,19,0,0,13,S,TRUE
192,1,3,1,19,1,0,7.8542,S,TRUE
193,1,2,0,3,1,1,26,S,TRUE
194,1,1,1,44,0,0,27.7208,C,TRUE
195,1,1,1,58,0,0,146.5208,C,TRUE
196,0,3,0,,0,0,7.75,Q,FALSE
197,0,3,0,42,0,1,8.4042,S,TRUE
198,1,3,1,,0,0,7.75,Q,FALSE
199,0,2,1,24,0,0,13,S,TRUE
200,0,3,0,28,0,0,9.5,S,TRUE
201,0,3,0,,8,2,69.55,S,FALSE
202,0,3,0,34,0,0,6.4958,S,TRUE
203,0,3,0,45.5,0,0,7.225,C,TRUE
204,1,3,0,18,0,0,8.05,S,TRUE
205,0,3,1,2,0,1,10.4625,S,TRUE
206,0,3,0,32,1,0,15.85,S,TRUE
207,1,3,0,26,0,0,18.7875,C,TRUE
208,1,3,1,16,0,0,7.75,Q,TRUE
209,1,1,0,40,0,0,31,C,TRUE
210,0,3,0,24,0,0,7.05,S,TRUE
211,1,2,1,35,0,0,21,S,TRUE
212,0,3,0,22,0,0,7.25,S,TRUE
213,0,2,0,30,0,0,13,S,TRUE
214,0,3,0,,1,0,7.75,Q,FALSE
215,1,1,1,31,1,0,113.275,C,TRUE
216,1,3,1,27,0,0,7.925,S,TRUE
217,0,2,0,42,1,0,27,S,TRUE
218,1,1,1,32,0,0,76.2917,C,TRUE
219,0,2,0,30,0,0,10.5,S,TRUE
220,1,3,0,16,0,0,8.05,S,TRUE
221,0,2,0,27,0,0,13,S,TRUE
222,0,3,0,51,0,0,8.05,S,TRUE
223,0,3,0,,0,0,7.8958,S,FALSE
224,1,1,0,38,1,0,90,S,TRUE
225,0,3,0,22,0,0,9.35,S,TRUE
226,1,2,0,19,0,0,10.5,S,TRUE
227,0,3,0,20.5,0,0,7.25,S,TRUE
228,0,2,0,18,0,0,13,S,TRUE
229,0,3,1,,3,1,25.4667,S,FALSE
230,1,1,1,35,1,0,83.475,S,TRUE
231,0,3,0,29,0,0,7.775,S,TRUE
232,0,2,0,59,0,0,13.5,S,TRUE
233,1,3,1,5,4,2,31.3875,S,TRUE
234,0,2,0,24,0,0,10.5,S,TRUE
235,0,3,1,,0,0,7.55,S,FALSE
236,0,2,0,44,1,0,26,S,TRUE
237,1,2,1,8,0,2,26.25,S,TRUE
238,0,2,0,19,0,0,10.5,S,TRUE
239,0,2,0,33,0,0,12.275,S,TRUE
240,0,3,1,,1,0,14.4542,C,FALSE
241,1,3,1,,1,0,15.5,Q,FALSE
242,0,2,0,29,0,0,10.5,S,TRUE
243,0,3,0,22,0,0,7.125,S,TRUE
244,0,3,0,30,0,0,7.225,C,TRUE
245,0,1,0,44,2,0,90,Q,TRUE
246,0,3,1,25,0,0,7.775,S,TRUE
247,1,2,1,24,0,2,14.5,S,TRUE
248,1,1,0,37,1,1,52.5542,S,TRUE
249,0,2,0,54,1,0,26,S,TRUE
250,0,3,0,,0,0,7.25,S,FALSE
251,0,3,1,29,1,1,10.4625,S,TRUE
252,0,1,0,62,0,0,26.55,S,TRUE
253,0,3,0,30,1,0,16.1,S,TRUE
254,0,3,1,41,0,2,20.2125,S,TRUE
255,1,3,1,29,0,2,15.2458,C,TRUE
256,1,1,1,,0,0,79.2,C,FALSE
257,1,1,1,30,0,0,86.5,S,TRUE
258,1,1,1,35,0,0,512.3292,C,TRUE
259,1,2,1,50,0,1,26,S,TRUE
260,0,3,0,,0,0,7.75,Q,FALSE
261,1,3,0,3,4,2,31.3875,S,TRUE
262,0,1,0,52,1,1,79.65,S,TRUE
263,0,1,0,40,0,0,0,S,TRUE
264,0,3,1,,0,0,7.75,Q,FALSE
265,0,2,0,36,0,0,10.5,S,TRUE
266,0,3,0,16,4,1,39.6875,S,TRUE
267,1,3,0,25,1,0,7.775,S,TRUE
268,1,1,1,58,0,1,153.4625,S,TRUE
269,1,1,1,35,0,0,135.6333,S,TRUE
270,0,1,0,,0,0,31,S,FALSE
271,1,3,0,25,0,0,0,S,TRUE
272,1,2,1,41,0,1,19.5,S,TRUE
273,0,1,0,37,0,1,29.7,C,TRUE
274,1,3,1,,0,0,7.75,Q,FALSE
275,1,1,1,63,1,0,77.9583,S,TRUE
276,0,3,1,45,0,0,7.75,S,TRUE
277,0,2,0,,0,0,0,S,FALSE
278,0,3,0,7,4,1,29.125,Q,TRUE
279,1,3,1,35,1,1,20.25,S,TRUE
280,0,3,0,65,0,0,7.75,Q,TRUE
281,0,3,0,28,0,0,7.8542,S,TRUE
282,0,3,0,16,0,0,9.5,S,TRUE
283,1,3,0,19,0,0,8.05,S,TRUE
284,0,1,0,,0,0,26,S,FALSE
285,0,3,0,33,0,0,8.6625,C,TRUE
286,1,3,0,30,0,0,9.5,S,TRUE
287,0,3,0,22,0,0,7.8958,S,TRUE
288,1,2,0,42,0,0,13,S,TRUE
289,1,3,1,22,0,0,7.75,Q,TRUE
290,1,1,1,26,0,0,78.85,S,TRUE
291,1,1,1,19,1,0,91.0792,C,TRUE
292,0,2,0,36,0,0,12.875,C,TRUE
293,0,3,1,24,0,0,8.85,S,TRUE
294,0,3,0,24,0,0,7.8958,S,TRUE
295,0,1,0,,0,0,27.7208,C,FALSE
296,0,3,0,23.5,0,0,7.2292,C,TRUE
297,0,1,1,2,1,2,151.55,S,TRUE
298,1,1,0,,0,0,30.5,S,FALSE
299,1,1,1,50,0,1,247.5208,C,TRUE
300,1,3,1,,0,0,7.75,Q,FALSE
301,1,3,0,,2,0,23.25,Q,FALSE
302,0,3,0,19,0,0,0,S,TRUE
303,1,2,1,,0,0,12.35,Q,FALSE
304,0,3,0,,0,0,8.05,S,FALSE
305,1,1,0,0.92,1,2,151.55,S,TRUE
306,1,1,1,,0,0,110.8833,C,FALSE
307,1,1,1,17,1,0,108.9,C,TRUE
308,0,2,0,30,1,0,24,C,TRUE
309,1,1,1,30,0,0,56.9292,C,TRUE
310,1,1,1,24,0,0,83.1583,C,TRUE
311,1,1,1,18,2,2,262.375,C,TRUE
312,0,2,1,26,1,1,26,S,TRUE
313,0,3,0,28,0,0,7.8958,S,TRUE
314,0,2,0,43,1,1,26.25,S,TRUE
315,1,3,1,26,0,0,7.8542,S,TRUE
316,1,2,1,24,1,0,26,S,TRUE
317,0,2,0,54,0,0,14,S,TRUE
318,1,1,1,31,0,2,164.8667,S,TRUE
319,1,1,1,40,1,1,134.5,C,TRUE
320,0,3,0,22,0,0,7.25,S,TRUE
321,0,3,0,27,0,0,7.8958,S,TRUE
322,1,2,1,30,0,0,12.35,Q,TRUE
323,1,2,1,22,1,1,29,S,TRUE
324,0,3,0,,8,2,69.55,S,FALSE
325,1,1,1,36,0,0,135.6333,C,TRUE
326,0,3,0,61,0,0,6.2375,S,TRUE
327,1,2,1,36,0,0,13,S,TRUE
328,1,3,1,31,1,1,20.525,S,TRUE
329,1,1,1,16,0,1,57.9792,C,TRUE
330,1,3,1,,2,0,23.25,Q,FALSE
331,0,1,0,45.5,0,0,28.5,S,TRUE
332,0,1,0,38,0,1,153.4625,S,TRUE
333,0,3,0,16,2,0,18,S,TRUE
334,1,1,1,,1,0,133.65,S,FALSE
335,0,3,0,,0,0,7.8958,S,FALSE
336,0,1,0,29,1,0,66.6,S,TRUE
337,1,1,1,41,0,0,134.5,C,TRUE
338,1,3,0,45,0,0,8.05,S,TRUE
339,0,1,0,45,0,0,35.5,S,TRUE
340,1,2,0,2,1,1,26,S,TRUE
341,1,1,1,24,3,2,263,S,TRUE
342,0,2,0,28,0,0,13,S,TRUE
343,0,2,0,25,0,0,13,S,TRUE
344,0,2,0,36,0,0,13,S,TRUE
345,1,2,1,24,0,0,13,S,TRUE
346,1,2,1,40,0,0,13,S,TRUE
347,1,3,1,,1,0,16.1,S,FALSE
348,1,3,0,3,1,1,15.9,S,TRUE
349,0,3,0,42,0,0,8.6625,S,TRUE
350,0,3,0,23,0,0,9.225,S,TRUE
351,0,1,0,,0,0,35,S,FALSE
352,0,3,0,15,1,1,7.2292,C,TRUE
353,0,3,0,25,1,0,17.8,S,TRUE
354,0,3,0,,0,0,7.225,C,FALSE
355,0,3,0,28,0,0,9.5,S,TRUE
356,1,1,1,22,0,1,55,S,TRUE
357,0,2,1,38,0,0,13,S,TRUE
358,1,3,1,,0,0,7.8792,Q,FALSE
359,1,3,1,,0,0,7.8792,Q,FALSE
360,0,3,0,40,1,4,27.9,S,TRUE
361,0,2,0,29,1,0,27.7208,C,TRUE
362,0,3,1,45,0,1,14.4542,C,TRUE
363,0,3,0,35,0,0,7.05,S,TRUE
364,0,3,0,,1,0,15.5,Q,FALSE
365,0,3,0,30,0,0,7.25,S,TRUE
366,1,1,1,60,1,0,75.25,C,TRUE
367,1,3,1,,0,0,7.2292,C,FALSE
368,1,3,1,,0,0,7.75,Q,FALSE
369,1,1,1,24,0,0,69.3,C,TRUE
370,1,1,0,25,1,0,55.4417,C,TRUE
371,0,3,0,18,1,0,6.4958,S,TRUE
372,0,3,0,19,0,0,8.05,S,TRUE
373,0,1,0,22,0,0,135.6333,C,TRUE
374,0,3,1,3,3,1,21.075,S,TRUE
375,1,1,1,,1,0,82.1708,C,FALSE
376,1,3,1,22,0,0,7.25,S,TRUE
377,0,1,0,27,0,2,211.5,C,TRUE
378,0,3,0,20,0,0,4.0125,C,TRUE
379,0,3,0,19,0,0,7.775,S,TRUE
380,1,1,1,42,0,0,227.525,C,TRUE
381,1,3,1,1,0,2,15.7417,C,TRUE
382,0,3,0,32,0,0,7.925,S,TRUE
383,1,1,1,35,1,0,52,S,TRUE
384,0,3,0,,0,0,7.8958,S,FALSE
385,0,2,0,18,0,0,73.5,S,TRUE
386,0,3,0,1,5,2,46.9,S,TRUE
387,1,2,1,36,0,0,13,S,TRUE
388,0,3,0,,0,0,7.7292,Q,FALSE
389,1,2,1,17,0,0,12,C,TRUE
390,1,1,0,36,1,2,120,S,TRUE
391,1,3,0,21,0,0,7.7958,S,TRUE
392,0,3,0,28,2,0,7.925,S,TRUE
393,1,1,1,23,1,0,113.275,C,TRUE
394,1,3,1,24,0,2,16.7,S,TRUE
395,0,3,0,22,0,0,7.7958,S,TRUE
396,0,3,1,31,0,0,7.8542,S,TRUE
397,0,2,0,46,0,0,26,S,TRUE
398,0,2,0,23,0,0,10.5,S,TRUE
399,1,2,1,28,0,0,12.65,S,TRUE
400,1,3,0,39,0,0,7.925,S,TRUE
401,0,3,0,26,0,0,8.05,S,TRUE
402,0,3,1,21,1,0,9.825,S,TRUE
403,0,3,0,28,1,0,15.85,S,TRUE
404,0,3,1,20,0,0,8.6625,S,TRUE
405,0,2,0,34,1,0,21,S,TRUE
406,0,3,0,51,0,0,7.75,S,TRUE
407,1,2,0,3,1,1,18.75,S,TRUE
408,0,3,0,21,0,0,7.775,S,TRUE
409,0,3,1,,3,1,25.4667,S,FALSE
410,0,3,0,,0,0,7.8958,S,FALSE
411,0,3,0,,0,0,6.8583,Q,FALSE
412,1,1,1,33,1,0,90,Q,TRUE
413,0,2,0,,0,0,0,S,FALSE
414,1,3,0,44,0,0,7.925,S,TRUE
415,0,3,1,,0,0,8.05,S,FALSE
416,1,2,1,34,1,1,32.5,S,TRUE
417,1,2,1,18,0,2,13,S,TRUE
418,0,2,0,30,0,0,13,S,TRUE
419,0,3,1,10,0,2,24.15,S,TRUE
420,0,3,0,,0,0,7.8958,C,FALSE
421,0,3,0,21,0,0,7.7333,Q,TRUE
422,0,3,0,29,0,0,7.875,S,TRUE
423,0,3,1,28,1,1,14.4,S,TRUE
424,0,3,0,18,1,1,20.2125,S,TRUE
425,0,3,0,,0,0,7.25,S,FALSE
426,1,2,1,28,1,0,26,S,TRUE
427,1,2,1,19,0,0,26,S,TRUE
428,0,3,0,,0,0,7.75,Q,FALSE
429,1,3,0,32,0,0,8.05,S,TRUE
430,1,1,0,28,0,0,26.55,S,TRUE
431,1,3,1,,1,0,16.1,S,FALSE
432,1,2,1,42,1,0,26,S,TRUE
433,0,3,0,17,0,0,7.125,S,TRUE
434,0,1,0,50,1,0,55.9,S,TRUE
435,1,1,1,14,1,2,120,S,TRUE
436,0,3,1,21,2,2,34.375,S,TRUE
437,1,2,1,24,2,3,18.75,S,TRUE
438,0,1,0,64,1,4,263,S,TRUE
439,0,2,0,31,0,0,10.5,S,TRUE
440,1,2,1,45,1,1,26.25,S,TRUE
441,0,3,0,20,0,0,9.5,S,TRUE
442,0,3,0,25,1,0,7.775,S,TRUE
443,1,2,1,28,0,0,13,S,TRUE
444,1,3,0,,0,0,8.1125,S,FALSE
445,1,1,0,4,0,2,81.8583,S,TRUE
